"Time (EpSec)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
0.000,1799.889680,18.154352,-8.219481,-0.016914,1.649159,-0.061373
60.000,1796.152410,117.026520,-11.887596,-0.107630,1.645749,-0.060866
120.000,1786.980599,215.544606,-15.519742,-0.198020,1.637359,-0.060175
180.000,1772.401998,313.410528,-19.104932,-0.287811,1.624015,-0.059301
240.000,1752.460717,410.328177,-22.632316,-0.376731,1.605758,-0.058248
300.000,1727.217092,506.004314,-26.091223,-0.464511,1.582642,-0.057019
360.000,1696.747500,600.149456,-29.471187,-0.550886,1.554738,-0.055618
420.000,1661.144133,692.478751,-32.761981,-0.635594,1.522129,-0.054048
480.000,1620.514714,782.712844,-35.953649,-0.718379,1.484915,-0.052314
540.000,1574.982174,870.578716,-39.036533,-0.798990,1.443208,-0.050423
600.000,1524.684278,955.810516,-42.001306,-0.877184,1.397135,-0.048378
660.000,1469.773211,1038.150361,-44.838997,-0.952724,1.346834,-0.046188
720.000,1410.415115,1117.349119,-47.541021,-1.025381,1.292459,-0.043857
780.000,1346.789587,1193.167163,-50.099202,-1.094935,1.234172,-0.041394
840.000,1279.089136,1265.375092,-52.505801,-1.161177,1.172152,-0.038806
900.000,1207.518600,1333.754431,-54.753534,-1.223906,1.106585,-0.036100
960.000,1132.294527,1398.098286,-56.835603,-1.282931,1.037670,-0.033285
1020.000,1053.644520,1458.211976,-58.745706,-1.338075,0.965615,-0.030369
1080.000,971.806546,1513.913618,-60.478065,-1.389170,0.890638,-0.027362
1140.000,887.028219,1565.034676,-62.027438,-1.436062,0.812967,-0.024271
1200.000,799.566049,1611.420476,-63.389138,-1.478609,0.732836,-0.021107
1260.000,709.684666,1652.930671,-64.559043,-1.516682,0.650488,-0.017880
1320.000,617.656022,1689.439666,-65.533615,-1.550166,0.566172,-0.014598
1380.000,523.758562,1720.836995,-66.309905,-1.578960,0.480142,-0.011272
1440.000,428.276389,1747.027663,-66.885564,-1.602976,0.392660,-0.007912
1500.000,331.498398,1767.932425,-67.258850,-1.622143,0.303990,-0.004528
1560.000,233.717407,1783.488030,-67.428634,-1.636401,0.214400,-0.001130
1620.000,135.229268,1793.647412,-67.394402,-1.645709,0.124161,0.002271
1680.000,36.331971,1798.379833,-67.156258,-1.650037,0.033547,0.005665
1740.000,-62.675254,1797.670974,-66.714921,-1.649372,-0.057169,0.009042
1800.000,-161.492846,1791.522980,-66.071729,-1.643717,-0.147712,0.012392
1860.000,-259.821815,1779.954452,-65.228626,-1.633089,-0.237808,0.015704
1920.000,-357.364653,1763.000393,-64.188164,-1.617519,-0.327185,0.018969
1980.000,-453.826227,1740.712100,-62.953490,-1.597056,-0.415571,0.022176
2040.000,-548.914680,1713.157009,-61.528340,-1.571760,-0.502700,0.025317
2100.000,-642.342305,1680.418493,-59.917027,-1.541709,-0.588308,0.028380
2160.000,-733.826423,1642.595608,-58.124426,-1.506993,-0.672136,0.031358
2220.000,-823.090234,1599.802793,-56.155960,-1.467717,-0.753931,0.034241
2280.000,-909.863656,1552.169523,-54.017586,-1.424001,-0.833444,0.037020
2340.000,-993.884144,1499.839921,-51.715772,-1.375976,-0.910436,0.039688
2400.000,-1074.897479,1442.972318,-49.257485,-1.323788,-0.984673,0.042235
2460.000,-1152.658543,1381.738776,-46.650161,-1.267594,-1.055930,0.044654
2520.000,-1226.932058,1316.324567,-43.901690,-1.207565,-1.123993,0.046938
2580.000,-1297.493298,1246.927612,-41.020388,-1.143883,-1.188655,0.049081
2640.000,-1364.128768,1173.757882,-38.014971,-1.076739,-1.249721,0.051075
2700.000,-1426.636853,1097.036763,-34.894535,-1.006338,-1.307005,0.052914
2760.000,-1484.828425,1016.996388,-31.668520,-0.932892,-1.360335,0.054593
2820.000,-1538.527416,933.878931,-28.346686,-0.856623,-1.409548,0.056107
2880.000,-1587.571350,847.935876,-24.939086,-0.777762,-1.454497,0.057451
2940.000,-1631.811839,759.427259,-21.456028,-0.696549,-1.495046,0.058622
3000.000,-1671.115025,668.620875,-17.908052,-0.613227,-1.531070,0.059615
3060.000,-1705.361991,575.791475,-14.305892,-0.528050,-1.562463,0.060427
3120.000,-1734.449116,481.219926,-10.660447,-0.441276,-1.589127,0.061057
3180.000,-1758.288394,385.192372,-6.982747,-0.353166,-1.610984,0.061502
3240.000,-1776.807695,287.999357,-3.283920,-0.263988,-1.627966,0.061761
3300.000,-1789.950986,189.934956,0.424842,-0.174011,-1.640023,0.061833
3360.000,-1797.678499,91.295876,4.132320,-0.083508,-1.647117,0.061718
3420.000,-1799.966855,-7.619433,7.827295,0.007248,-1.649228,0.061417
3480.000,-1796.809128,-106.511689,11.498586,0.097983,-1.646349,0.060929
3540.000,-1788.214874,-205.081677,15.135087,0.188420,-1.638489,0.060257
3600.000,-1774.210095,-303.031158,18.725795,0.278288,-1.625671,0.059403


